Name;Description;Unit;Type;Settable;Multiplayer
ADF ACTIVE FREQUENCY ;ADF frequency. Index of 1 or 2. ;Frequency ADF BCD32 ;  ;;Shared Cockpit
ADF AVAILABLE ;True if ADF is available ;Bool ;  ;;-
ADF CARD ;ADF compass rose setting ;Degrees ;TYPE_UINT32 ;;Shared Cockpit
ADF EXT FREQUENCY ;Legacy, use ADF ACTIVE FREQUENCY ;Frequency BCD16 ;TYPE_BCD16 ;;-
ADF FREQUENCY ;Legacy, use ADF ACTIVE FREQUENCY ;Frequency BCD16 ;TYPE_BCD16 ;;-
ADF IDENT ;ICAO code ;String ;  ;;-
ADF LATLONALT ;Returns the latitude, longitude and altitude of the station the radio equipment is currently tuned to, or zeros if the radio is not tuned to any ADF station. Index of 1 or 2 for ADF 1 and ADF 2. ;SIMCONNECT_DATA_LATLONALTstructure ;  ;;-
ADF NAME ;Descriptive name ;String ;  ;;-
ADF RADIAL ;Current direction from NDB station ;Degrees ;TYPE_FLOAT64 ;;-
ADF SIGNAL ;Signal strength ;Number ;TYPE_FLOAT64 ;;-
ADF SOUND ;ADF audio flag. Index of 0 or 1. ;Bool ;TYPE_FLOAT64 ;;Shared Cockpit
ADF STANDBY AVAILABLE ;True if ADF Standby is available ;Bool ;  ;;-
ADF STANDBY FREQUENCY ;ADF standby frequency ;Hz ;  ;;-
AUDIO PANEL AVAILABLE ;True if Audio panel is available ;Bool ;  ;;-
AUDIO PANEL VOLUME ;The Volume of the Audio Panel. ;Float, Percent. ;TYPE_FLOAT64 ;;-
AVIONICS MASTER SWITCH ;Avionics switch state ;Bool ;TYPE_BOOL ;;All aircraft
COM ACTIVE FREQUENCY ;Com frequency. Index is 1 or 2. ;Frequency BCD16 ;TYPE_BCD16 ;;All aircraft
COM AVAILABLE ;True if COM1, COM2 or COM3 is available (depending on the index) ;Bool ;  ;;-
COM RECEIVE ALL ;Toggles all COM radios to receive on ;Bool ;TYPE_FLOAT64 ;;-
COM RECIEVE ALL ;Flag if all Coms receiving ;Bool ;  ;;Shared Cockpit
COM STANDBY FREQUENCY ;Com standby frequency. Index is 1 or 2. ;Frequency BCD16 ;TYPE_BCD16 ;;All aircraft
COM STATUS ;Radio status flag ;;enum: -1 =Invalid 0 = OK 1 = Does not exist2 = No electricity3 = Failed;  ;;-
COM TEST ;Enter an index of 1 or 2. True if the COM system is working. ;Bool ;TYPE_BOOL ;;-
COM TRANSMIT ;Audio panel com transmit state. Index of 1 or 2. ;Bool ;TYPE_FLOAT64 ;;Shared Cockpit
COPILOT TRANSMITTER TYPE ;On which channel the copilot is transmitting. ;;enum: 0 = COM1 1 = COM2 2 = COM3 3 = TEL 4 = NONE;TYPE_ENUM ;;-
COPILOT TRANSMITTING ;Whether or not the copilot is transmitting. ;Bool ;TYPE_BOOL ;;-
DME SOUND ;DME audio flag ;Bool ;TYPE_FLOAT64 ;;Shared Cockpit
GPS APPROACH APPROACH INDEX ;Index of approach for given airport ;Number ;  ;;-
GPS APPROACH APPROACH TYPE ;Approach type ;;enum: 0 = None 1 = GPS 2 = VOR 3 = NDB 4 = ILS 5 = Localizer 6 = SDF 7 = LDA 8 = VOR/ DME 9 = NDB/ DME 10 = RNAV 11 = Backcourse ;  ;;-
GPS APPROACH IS FINAL ;Is approach transition final approach segment ;Bool ;  ;;-
GPS APPROACH IS MISSED ;Is approach segment missed approach segment ;Bool ;  ;;-
GPS APPROACH IS WP RUNWAY ;Waypoint is the runway ;Bool ;  ;;-
GPS APPROACH MODE ;Sub mode within approach mode. ;;enum: 0 = None 1 = Transition 2 = Final 3 = Missed;  ;;-
GPS APPROACH SEGMENT TYPE ;Segment type within approach. ;;enum: 0 = Line 1 = Arc clockwise 2 = Arc counter-clockwise;  ;;-
GPS APPROACH TIMEZONE DEVIATION ;Deviation of local time from GMT ;Seconds ;  ;;-
GPS APPROACH TRANSITION INDEX ;Index of approach transition ;Number ;  ;;-
GPS APPROACH WP COUNT ;Number of waypoints ;Number ;  ;;-
GPS APPROACH WP INDEX ;Index of current waypoint ;Number ;  ;;-
GPS APPROACH WP TYPE ;Waypoint type within approach mode. ;;enum: 0 = None 1 = Fix 2 = Procedure turn left 3 = Procedure turn right 4 = Dme arc left 5 = Dme arc right 6 = Holding left 7 = Holding right 8 = Distance 9 = Altitude 10 = Manual sequence 11 = Vector to final;  ;;-
GPS COURSE TO STEER ;Suggested heading to steer (for autopilot) ;Radians ;  ;;-
GPS DRIVES NAV1 ;GPS is driving Nav 1 indicator ;Bool ;TYPE_BOOL ;;Shared Cockpit
GPS ETA ;Estimated time of arrival at destination ;Seconds ;  ;;-
GPS ETE ;Estimated time en route to destination ;Seconds ;  ;;-
GPS FLIGHT PLAN WP COUNT ;Number of waypoints ;Number ;  ;;-
GPS FLIGHT PLAN WP INDEX ;Index of waypoint ;Number ;  ;;-
GPS GROUND MAGNETIC TRACK ;Current magnetic ground track ;Radians ;TYPE_FLOAT64 ;;-
GPS GROUND SPEED ;Current ground speed ;Meters per second ;TYPE_FLOAT64 ;;-
GPS GROUND TRUE HEADING ;Current true heading ;Radians ;TYPE_FLOAT64 ;;-
GPS GROUND TRUE TRACK ;Current true ground track ;Radians ;  ;;-
GPS IS ACTIVE FLIGHT PLAN ;Flight plan mode active ;Bool ;  ;;-
GPS IS ACTIVE WAY POINT ;Waypoint mode active ;Bool ;  ;;-
GPS IS ACTIVE WP LOCKED ;Is switching to next waypoint locked ;Bool ;  ;;-
GPS IS APPROACH ACTIVE ;Is approach mode active ;Bool ;  ;;-
GPS IS APPROACH LOADED ;Is approach loaded ;Bool ;  ;;-
GPS IS ARRIVED ;Is flight plan destination reached ;Bool ;  ;;-
GPS IS DIRECTTO FLIGHTPLAN ;Is Direct To Waypoint mode active ;Bool ;  ;;-
